epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6016,2.29274,4.13125,2.57833,0.00367,0.18914,0.00516,0.00193,2.33938,4.262,3.00828,1e-05,1e-05,1e-05
2,17.5727,2.50012,4.16226,2.54037,0.00529,0.23467,0.00633,0.00247,2.36363,4.2389,3.00186,2.9703e-05,2.9703e-05,2.9703e-05
3,18.4389,2.19338,4.11307,2.38984,0.00606,0.23467,0.00702,0.00215,2.30168,4.24796,2.9122,4.901e-05,4.901e-05,4.901e-05
4,19.4418,2.42469,4.17674,2.40379,0.00822,0.2503,0.00768,0.00282,2.20499,4.2306,2.84188,6.7921e-05,6.7921e-05,6.7921e-05
5,20.6356,2.05431,4.06723,2.13505,0.00444,0.22946,0.00758,0.00345,2.14653,4.21463,2.74342,8.6436e-05,8.6436e-05,8.6436e-05
6,21.8322,2.16004,3.9949,2.2426,0.00478,0.22946,0.00813,0.00362,2.1976,4.184,2.76817,0.000104555,0.000104555,0.000104555
7,22.6745,2.04035,4.11194,2.05945,0.00108,0.20938,0.00631,0.00267,2.18164,4.17283,2.73784,0.000122278,0.000122278,0.000122278
8,23.4954,1.75954,4.10475,2.17199,0.00752,0.27634,0.03296,0.00784,2.15483,4.16501,2.66517,0.000139605,0.000139605,0.000139605
9,24.3075,1.96798,4.08796,2.08304,0.00789,0.26071,0.02684,0.00766,2.14837,4.12802,2.59452,0.000156536,0.000156536,0.000156536
10,25.1482,1.66893,3.94539,1.98647,0.00835,0.27634,0.03373,0.01493,2.0516,4.06301,2.46426,0.000173071,0.000173071,0.000173071
11,25.9781,1.82387,3.93598,1.89104,0.00887,0.29196,0.04464,0.02519,2.0112,3.98969,2.38103,0.00018921,0.00018921,0.00018921
12,26.795,1.67833,3.84498,1.99415,0.01805,0.37768,0.07901,0.04505,1.92323,3.95729,2.26629,0.000204953,0.000204953,0.000204953
13,27.6828,1.59803,3.86836,1.94656,0.01806,0.3433,0.07956,0.04816,1.81561,3.92521,2.14395,0.0002203,0.0002203,0.0002203
14,28.5064,1.50759,3.8184,1.7336,0.03854,0.47068,0.1216,0.06323,1.70655,3.87926,2.00236,0.000235251,0.000235251,0.000235251
15,29.3416,1.58495,3.85246,1.83878,0.03154,0.52723,0.15712,0.08335,1.64329,3.86191,1.93898,0.000249806,0.000249806,0.000249806
16,30.1923,1.48999,3.70197,1.77385,0.02216,0.54286,0.19756,0.10436,1.58507,3.84784,1.86263,0.000263965,0.000263965,0.000263965
17,31.0584,1.75262,3.66524,1.8979,0.01328,0.52202,0.18703,0.10802,1.51153,3.82488,1.79968,0.000277728,0.000277728,0.000277728
18,32.4835,1.76116,3.85115,1.90161,0.01421,0.60982,0.16514,0.09887,1.4616,3.78893,1.75797,0.000291095,0.000291095,0.000291095
19,33.4908,1.39969,3.70619,1.7213,0.01233,0.64628,0.17085,0.10433,1.43699,3.76268,1.73017,0.000304066,0.000304066,0.000304066
20,34.3583,1.96031,4.0072,2.15844,0.01088,0.64628,0.20379,0.10899,1.43377,3.72846,1.72134,0.000316641,0.000316641,0.000316641
21,35.2246,1.64289,3.60982,1.94754,0.00977,0.59628,0.20991,0.12185,1.45998,3.68921,1.71587,0.00032882,0.00032882,0.00032882
22,36.0264,1.555,3.7214,1.97233,0.00975,0.61711,0.20204,0.11223,1.49357,3.63488,1.72438,0.000340603,0.000340603,0.000340603
23,36.8595,1.45048,3.62421,1.65824,0.00929,0.65283,0.20162,0.12219,1.46745,3.59415,1.71962,0.00035199,0.00035199,0.00035199
24,37.6918,1.44005,3.49664,1.68424,0.00944,0.68854,0.18051,0.10008,1.43961,3.53652,1.71157,0.000362981,0.000362981,0.000362981
25,38.5107,1.66987,3.74782,1.94556,0.00946,0.69375,0.18738,0.10919,1.40572,3.45313,1.69108,0.000373576,0.000373576,0.000373576
26,39.3192,1.53281,3.51187,1.68399,0.0093,0.69449,0.21839,0.13859,1.37523,3.39315,1.66049,0.000383775,0.000383775,0.000383775
27,40.1615,1.48645,3.30479,1.66775,0.69948,0.10417,0.25958,0.15464,1.36641,3.28002,1.66317,0.000393578,0.000393578,0.000393578
28,40.9862,1.47482,3.19799,1.64948,0.69948,0.10417,0.25958,0.15464,1.36641,3.28002,1.66317,0.000402985,0.000402985,0.000402985
29,41.854,1.52524,3.32705,1.69012,0.71498,0.07352,0.30558,0.1851,1.32857,3.15841,1.64257,0.000411996,0.000411996,0.000411996
30,42.6797,1.48628,3.16335,1.64675,0.68583,0.13656,0.33833,0.20183,1.3421,3.04712,1.64225,0.000420611,0.000420611,0.000420611
31,43.757,1.50563,3.22978,1.72059,0.68583,0.13656,0.33833,0.20183,1.3421,3.04712,1.64225,0.00042883,0.00042883,0.00042883
32,45.202,1.17362,2.95214,1.55497,0.60512,0.22764,0.32567,0.21282,1.32514,2.96493,1.62918,0.000436653,0.000436653,0.000436653
